Number,Title,URL,Date
1,"Student found community, and a future in research through hockey and science",https://www.kennesaw.edu/news/stories/student-found-community-and-future-in-research-through-hockey-and-science.php,"December 19, 2025"
2,"'One day, I will': Brianna Jackson's unstoppable journey to a future in tech",https://www.kennesaw.edu/coles/news/stories/2025-12-17-brianna-jackson-journey-to-future-in-tech.php,"December 17, 2025"
3,Kennesaw State graduating senior using innovation to support autistic students,https://www.kennesaw.edu/news/stories/2025/graduate-using-innovation-support-autistic-students.php,"December 17, 2025"
4,Discipline and determination drive track and classroom success for graduating student-athlete,https://www.kennesaw.edu/news/stories/2025/discipline-determination-drive-track-classroom-success-graduate.php,"December 16, 2025"
5,KSU graduate overcomes adversity to earn biology degree,https://www.kennesaw.edu/news/stories/2025/graduate-overcomes-adversity-to-earn-biology-degree.php,"December 15, 2025"
6,"Student-athlete graduates, makes history for KSU football",https://www.kennesaw.edu/news/stories/2025/student-athlete-graduates-makes-history-for-ksu-football.php,"December 12, 2025"
7,Twin sisters honor late father's wish as they graduate from Kennesaw State,https://www.kennesaw.edu/news/stories/2025/twin-sisters-honor-fathers-wish-graduate-ksu.php,"December 11, 2025"
8,"Nursing graduate returns to KSU for master's, teaching opportunities",https://www.kennesaw.edu/news/stories/2025/nursing-graduate-returns-to-ksu-for-master-degree.php,"December 10, 2025"
9,Kennesaw State graduate builds a future few expected,https://www.kennesaw.edu/news/stories/2025/ksu-graduate-builds-future-few-expected.php,"December 09, 2025"
10,Former SGA president thrives in player development role for Georgia State women's hoops,https://www.kennesaw.edu/news/stories/2025/ksu-alum-thrives-in-player-development-role-basketball.php,"December 08, 2025"
