Number,Title,URL,Date
1,Kennesaw State study shows cell phone ban improves teacher well-being  ,https://www.kennesaw.edu/news/stories/2025/study-shows-cell-phone-ban-improves-teacher-well-being.php,"November 11, 2025"
2,Kennesaw State associate professor receives NSF grant to improve student success in engineering,https://www.kennesaw.edu/news/stories/2025/associate-professor-nsf-grant-improve-success-engineering.php,"November 10, 2025"
3,KSU Field Station offers real-world experience for graduate students,https://www.kennesaw.edu/graduate/about/news/nov-5-2025.php,"November 07, 2025"
4,"Lawyers learning ethics lessons from AI mishaps, Kennesaw State speaker says",https://www.kennesaw.edu/news/stories/2025/lawyers-learn-ethics-lessons-from-ai-mishaps-speaker-says.php,"November 06, 2025"
5,Kennesaw State's Arthur Liou installed as Audrey Bailey Morgan Distinguished Endowed Dean's Chair,https://www.kennesaw.edu/news/stories/2025/audrey-bailey-morgan-distinguished-endowed-deans-chair.php,"November 05, 2025"
6,Debate team at Kennesaw State rising to the challenge,https://www.kennesaw.edu/radow/news/posts/2025-11-04-ksu-debate-team-regents-cup.php,"November 05, 2025"
7,Kennesaw State professor awarded NSF grant to strengthen communication skills in engineering education,https://www.kennesaw.edu/news/stories/2025/professor-nsf-grant-communication-skills-engineering-education.php,"November 04, 2025"
8,Kennesaw State awarded Governor's Office of Highway Safety grant for 19th consecutive year,https://www.kennesaw.edu/news/stories/2025/ksu-awarded-highway-safety-grant-19th-year.php,"November 03, 2025"
9,Kennesaw State faculty members honored by the American Society of Civil Engineers,https://www.kennesaw.edu/news/stories/2025/faculty-members-honored-by-society-civil-engineers.php,"November 03, 2025"
10,"Kennesaw State assistant professor, lab open doors to hands-on innovation in chemistry",https://www.kennesaw.edu/news/stories/2025/assistant-professor-lab-open-doors-hands-on-innovation-chemistry.php,"October 31, 2025"
