Number,Title,URL,Date
1,Owls celebrate KSU Day at State Capitol,https://ksuowls.com/news/2026/2/5/football-owls-celebrate-ksu-day-at-state-capitol.aspx,"February 05, 2026"
2,STRIVE Program celebrates first cohort of military entrepreneurs,https://www.kennesaw.edu/news/stories/2026/strive-program-celebrates-first-cohort-entrepreneurs.php,"February 04, 2026"
3,Kennesaw State's Supplemental Instruction program earns international accreditation,https://www.kennesaw.edu/news/stories/2026/kennesaw-state-supplemental-instruction-international-accreditation.php,"February 03, 2026"
4,"Kennesaw State researcher develops safer, faster solid-state battery design ",https://www.kennesaw.edu/news/stories/2026/researcher-develops-safer-solid-state-battery.php,"February 03, 2026"
5,Kennesaw State professor advocates a better way for former prisoners,https://www.kennesaw.edu/news/stories/2026/researcher-advocates-better-way-former-prisoners.php,"February 02, 2026"
6,"Winter Weather Update: Kennesaw State to resume normal operations on Sunday, Feb. 1   ",https://www.kennesaw.edu/news/stories/2026/winter-weather-update-january-31-2026.php,"January 31, 2026"
7,Kennesaw State honors the Legacy of Martin Luther King Jr. at annual event,https://www.kennesaw.edu/news/stories/2026/ksu-honors-legacy-mlk-annual-event.php,"January 30, 2026"
8,"Big semester for KSU's Chamber Singers includes conference, Spain tour",https://www.kennesaw.edu/news/stories/2026/ksu-chamber-singers-conference-spain-tour.php,"January 30, 2026"
9,Kennesaw State University Alumni Association announces 40 Owls Under 40 Class of 2026,https://www.kennesaw.edu/news/stories/2026/ksu-alumni-40-under-40-2026.php,"January 29, 2026"
10,Kennesaw State among nation's top universities for online degrees in U.S. News rankings,https://www.kennesaw.edu/news/stories/2026/ksu-among-top-universities-for-online-degrees-us-news.php,"January 29, 2026"
