Number,Title,URL,Date
1,Kennesaw State student explores how trauma affects decision-making ,https://www.kennesaw.edu/news/stories/2025/student-explores-how-trauma-affects-decision-making.php,"December 05, 2025"
2,Top researchers recognized for achievements at Apex Awards,https://www.kennesaw.edu/news/stories/2025/top-researchers-recognized-at-apex-awards.php,"December 04, 2025"
3,Lawrence Whitman installed as Dale and Ann Heatherington Endowed Chair of Engineering and Engineering Technology ,https://www.kennesaw.edu/news/stories/2025/dale-and-ann-heatherington-endowed-chair.php,"December 04, 2025"
4,Rising above challenges marks inspiring career of President's Award of Distinction recipient,https://www.kennesaw.edu/news/stories/2025/rising-above-challenges-president-award-distinction-recipient.php,"December 03, 2025"
5,Kennesaw State team innovates stronger 3D-printed structures through advanced simulations,https://www.kennesaw.edu/news/stories/2025/team-innovates-3d-printed-structures-simulations.php,"December 03, 2025"
6,Lesley Netter-Snowden named executive vice president and chief business officer,https://www.kennesaw.edu/news/stories/2025/ksu-executive-vice-president-and-chief-business-officer.php,"December 01, 2025"
7,"Student, faculty researchers explore how AI can improve STEM learning through virtual reality",https://www.kennesaw.edu/news/stories/2025/researchers-explore-ai-improve-stem-learning-virtual-reality.php,"December 01, 2025"
8,Assistant professor wins Metropolis Magazine Planet Positive Award for sustainability,https://www.kennesaw.edu/news/stories/2025/metropolis-magazine-planet-positive-award-sustainability.php,"November 26, 2025"
9,Environmental solutions take center stage at Symposium of Student Scholars,https://www.kennesaw.edu/news/stories/2025/environmental-solutions-take-center-stage-at-symposium-of-student-scholars.php,"November 25, 2025"
10,Alumnus stars in Amazon Prime horror film,https://www.kennesaw.edu/news/stories/2025/alumnus-stars-in-amazon-prime-horror-film.php,"November 25, 2025"
