Number,Title,URL,Date
1,"Student, faculty researchers use AI to improve early detection and diagnosis of Alzheimer's disease",https://www.kennesaw.edu/news/stories/2025/researchers-use-ai-improve-detection-alzheimers-disease.php,"November 24, 2025"
2,Assistant professor receives NIH grant to improve preservation and storage of peptide and protein-based drugs,https://www.kennesaw.edu/news/stories/2025/researcher-nih-grant-improve-preservation-protein-based-drugs.php,"November 21, 2025"
3,Chemistry alumni use research as springboard to industry careers,https://www.kennesaw.edu/news/stories/2025/chemistry-alumni-research-springboard-industry-careers.php,"November 20, 2025"
4,"KSU PechaKucha Night showcases reach, depth of research",https://www.kennesaw.edu/news/stories/2025/ksu-pechakucha-night-showcases-research.php,"November 19, 2025"
5,Seven projects to look for at Fall Symposium of Student Scholars,https://www.kennesaw.edu/news/stories/2025/seven-projects-at-fall-symposium-of-student-scholars.php,"November 18, 2025"
6,"From Kennesaw to Capitol Hill, student earns front-row seat to federal policymaking process",https://www.kennesaw.edu/news/stories/2025/student-earns-front-row-seat-federal-policymaking-process.php,"November 18, 2025"
7,"Kennesaw State researchers use drones, artificial intelligence to improve disaster response",https://www.kennesaw.edu/news/stories/2025/researchers-use-drones-improve-disaster-response.php,"November 17, 2025"
8,Kennesaw State receives APLU Public Impact Research Award for veteran suicide prevention research,https://www.kennesaw.edu/news/stories/2025/ksu-receives-aplu-public-impact-research-award.php,"November 13, 2025"
9,Radow College researchers exploring AI in humanitarian crisis simulation design,https://www.kennesaw.edu/radow/news/posts/2025-11-12-conflict-management-ai-simulation.php,"November 13, 2025"
10,Wind ensemble one of two KSU groups chosen for Georgia Music Educators' Association performance,https://www.kennesaw.edu/news/stories/2025/two-ksu-groups-chosen-georgia-music-educators-conference.php,"November 12, 2025"
