Number,Title,URL,Date
1,"Research conducted by Kennesaw State student could lead to faster, more efficient electronics",https://www.kennesaw.edu/news/stories/2025/research-student-lead-faster-efficient-electronics.php,"October 30, 2025"
2,Kennesaw State designated a Military Spouse Friendly School by Viqtory,https://www.kennesaw.edu/news/stories/2025/ksu-designated-military-spouse-friendly-school-by-viqtory.php,"October 29, 2025"
3,Professional sales students rise to the occasion in TK Elevator Pitch Competition,https://www.kennesaw.edu/coles/news/stories/2025-10-28-ksu-sales-students-on-rise-tke-elevator-pitch-competition.php,"October 28, 2025"
4,KSU nursing student shares perspective at Governor's Workforce Summit,https://www.kennesaw.edu/news/stories/2025/nursing-student-shares-perspective-governors-workforce-summit.php,"October 28, 2025"
5,Kennesaw State associate professor leads effort to strengthen juvenile justice programs through data analysis,https://www.kennesaw.edu/news/stories/2025/strengthen-juvenile-justice-programs-through-data-analysis.php,"October 27, 2025"
6,Kennesaw State vocal music instructor named 2025 Jazz Hero by national organization,https://www.kennesaw.edu/news/stories/2025/vocal-music-instructor-named-2025-jazz-hero.php,"October 23, 2025"
7,"Student projects mark 25th anniversary of Kennesaw State, Montepulciano partnership",https://www.kennesaw.edu/news/stories/2025/student-projects-mark-25th-anniversary-ksu-montepulciano-partnership.php,"October 22, 2025"
8,"New literacy microcredential launches in partnership with KSU, Learn4Life, and Atlanta Speech School",https://www.kennesaw.edu/news/stories/2025/new-literacy-microcredential.php,"October 21, 2025"
9,Kennesaw State history professor helps shape Georgia's environmental future,https://www.kennesaw.edu/radow/news/posts/2025-10-21-bert-way-igel.php,"October 21, 2025"
10,Well-traveled lobster the latest point of intrigue in Kennesaw State dean's research,https://www.kennesaw.edu/news/stories/2025/well-traveled-lobster-point-of-intrigue-dean-research.php,"October 20, 2025"
